,ID,Link,Date,Username,Message
10,post1808338,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification-2.html#post1808338,"02-12-2018, 12:29 PM",JTeam,"
			
			Thats fantastic. And very quick. We submitted same for our in october. everything is the same, we are married legally and have 7 year history. 
 
the difference is country of submission and associated risk/resourcing. 
 
the applicant in our case is thai and deemed higher risk. due to this risk (aka racism)  we have supplied all information in oct last year and must keep waiting. 
 
congratulations and good luck 
 "
11,post1814402,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification-2.html#post1814402,"02-19-2018, 07:21 AM",pialia,"
			
			Hello everyone!! I am also new and I am somewhat scared. I uploaded my application for the 820 visa on November 27, 2017 and in two months we have already requested the police checks and the medical exams, I am a bit overwhelmed since all this is very fast and we have not had time to gather more information. My agent does not understand and there are people waiting for many months! I am in a relationship since 2015 and in a de facto for more than a year. Does anyone know why? If the waiting time is supposed to be 12 to 14 months? thanks heaps!   
   
 
Pia 
 "
12,post1814658,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification-2.html#post1814658,"02-19-2018, 09:03 AM",JandE,"
 
 Quote: 
 
 
 
 
					Originally Posted by  pialia 
 
 
  If the waiting time is supposed to be 12 to 14 months? thanks heaps! 
 
 
 
 When the waiting time was 12 to 14 months it meant that 75% were done within 12 months. 
Only 15% took 12-14 months. 
 
Some are done quickly,  although it is now 75% in under 20 months. 
 
The problem now, is that if an application is not complete when submitted,  it can be rejected for insufficient evidence.  
 
Worthwhile getting it all in quickly.
		 "
13,post1814890,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification-2.html#post1814890,"02-19-2018, 01:10 PM",JTeam,"
 
 Quote: 
 
 
 
 
					Originally Posted by  pialia 
 
 
 Hello everyone!! I am also new and I am somewhat scared. I uploaded my application for the 820 visa on November 27, 2017 and in two months we have already requested the police checks and the medical exams, I am a bit overwhelmed since all this is very fast and we have not had time to gather more information. My agent does not understand and there are people waiting for many months! I am in a relationship since 2015 and in a de facto for more than a year. Does anyone know why? If the waiting time is supposed to be 12 to 14 months? thanks heaps!   
   
 
Pia 
 
 
 
 Our PIDs medical an pol check requests came the same week we paid the fee. We supplied all this within the stated time frame but haven't heard squat since. That was early October. 
 
Some area seem to be testing the automation systems within the client enterprise system linked to immiaccount more than others.   
 
thing is you shouldn't really submit application if youre not ready and 2nd question i would have is why your agent has not advised on this?
		 "
14,post1816602,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification-2.html#post1816602,"02-21-2018, 03:02 AM",stace.ep,"
			
			Hi guys! 
 
If anyone can clear this up for me I'd really appreciate it... 
 
My husband was granted visa 309 n the 8th of December 2015... 
 
We forgot all about stage 2 as the DIBP no longer send reminders (WHYYYY!!??) and did not lodge for subclass 100 until 17th of Jan 20 2018 - 2 years 2 months and 9 days after 309 was granted...Firstly, are we too late?!??! 
 
Secondly... home affairs website says subclass 100 processing time is 20-23 months. Does that mean we need to possibly wait 2 more years for a decision on 100, or does that wait time begin from when visa 309 was granted? 
 
Hopefully someone can shed some light!  
Thanks!
		 "
15,post1818298,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification-2.html#post1818298,"02-22-2018, 06:31 AM",Eifster,"
			
			I submitted one day early, just short of two years. Does anyone know if this is a problem? 
It seems to be a bit of a process to withdraw an application only to resubmit tomorrow ... but now that I've done it, I'm nervous ...
		 "
16,post1818722,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification-2.html#post1818722,"02-22-2018, 09:54 AM",Lena83,"
 
 Quote: 
 
 
 
 
					Originally Posted by  stace.ep 
 
 
 Hi guys! 
 
If anyone can clear this up for me I'd really appreciate it... 
 
My husband was granted visa 309 n the 8th of December 2015... 
 
We forgot all about stage 2 as the DIBP no longer send reminders (WHYYYY!!??) and did not lodge for subclass 100 until 17th of Jan 20 2018 - 2 years 2 months and 9 days after 309 was granted...Firstly, are we too late?!??! 
 
Secondly... home affairs website says subclass 100 processing time is 20-23 months. Does that mean we need to possibly wait 2 more years for a decision on 100, or does that wait time begin from when visa 309 was granted? 
 
Hopefully someone can shed some light!  
Thanks! 
 
 
 
 I am not sure how this is viewed. If they haven't sent out a refusal notice already you should be fine. I've heard stories about people being over a year late and all good, but not sure about longer than that. Also your eligibility is from your initial lodgement and not from grant date. Maybe ask Mark here on the forum about it.
		 "
17,post1821458,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification-2.html#post1821458,"02-25-2018, 02:54 AM",Louis K B,"
			
			Thinking of moving to Australia is an awesome dream. Do it! Don't forget to read this book [ How to make your dream of living in another country a reality ] Is available on amazon. 
 
 "
18,post1826642,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification-2.html#post1826642,"02-28-2018, 11:17 PM",Tj-Sonya-Sefo,"
			
			WOW That is awesome news. My husband and lodged his application on 11 Jan 2018. We have been married for almost 18 years and have 3 children. Our application status is ""Application Assessment in Progress"" We are praying that we hear back as soon possible so that our family is reunited again. Thank you for sharing as this has given me hope  
 "
19,post1828434,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification-2.html#post1828434,"03-02-2018, 08:15 AM",appynavin,"
 
 Quote: 
 
 
 
 
					Originally Posted by  emilieisabella92 
 
 
 Thank you so much! Me and my partner still cannot believe it but we are so happy!! 
Are you applying for an offshore visa or onshore visa? 
 
We made sure we had all the information they needed, except for medical. We had to wait until a case officer asked me for it, as they provide us with a HAP ID number that your doctor will need.  
 
 Jake - Sponsor Partner  
 
- Copy of Passport 
- Copy of Birth Certificate 
- Copy of his current Lease Agreement 
- Copy of Drivers License  
-Copy of his Police Extract 
- 40sp - He does it online on your immi account. You must submit and pay for the visa before he can fill out his 40sp. 
 
 
 Me - Applicant   
 
- Copy of Birth Certificate 
- Copy of current Passport 
- Copy of Swedish and Australian Police Extract . I provided both since I am not allowed to have any criminal records of my own country and I had been living in Australia for 4 years before applying for our offshore de facto visa. 
- Copy of current Lease Agreement  
- Copy of Drivers License + my international license  
-80 filled out - takes ages 
-47sp - you do in online on your immi account, once you have submitted your visa. 
 
 Relationship Evidence   
 
- Joint Bank account - Evidence of; 
- Bank statements of rent money 
- Money going in and out of joint account 
- Joint Lease agreements - make sure to get a copy of all places you have stayed together at. even if you have been on a holiday together and had 2 nights at a hotel or hostel. But make sure both your names are on it.  
 
 Social aspects: 
 
- Joint invites (e.g birthday parties, weddings, dinners etc. Make sure they are addressed in both your names) 
- Postcards addressed to both you 
- Travels together - photos, bookings of accommodation 
- Photos of both you together with families and/or friends. 
 
 Statutory Decs; 
All together me and my partner provided 6 statutory declarations from friends and family and then you have to write one yourself. 
 
4 - Form 888 ( have to be Australian citizen/or permanent) 
2 - Written statutory declaration from my dad and my non permanent friend who lives in Australia. 
1 - Statutory Declaration from the sponsor 
1 - Statutory Declaration from the applicant 
 
 Evidence of communication: 
 
- Saved messages and phone call extracts during periods of being apart.  
It seems a bit excessive I know, but trust me it is worth using it all. Proves that you are really committed to each other.  
 
This is the most important things you need to use or find out about. Some things I have not gone into details about as you'll learn as you go. But ill send you this link that is really good to read through before you start, or use whilst in the process of providing all your information.  
Be patient. it does take time. I have spent 12 hours/day some days. Onc you start its hard to put it aside as you just want it to be done with. But it is all worth it in the end to put that extra effort into what you both want. To be able to live and spend the rest of your lives together.  
 
Do not hesitate to ask more questions I you have any. More than happy to help. Hope what I have written so far does.  
 
 
 
 Hi I just got my 309 granted and now moving on to the second step. Can you please guide how to go about... Help will be very much appreciated. I am from India and now in Australia. Partner is a citizen. My two years are ending on 10th Oct 2018. 
 "
20,post1843546,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification-3.html#post1843546,"03-16-2018, 09:10 PM",Ting,"
 
 Quote: 
 
 
 
 
					Originally Posted by  Sheldonpk 
 
 
 You will have to submit the following  
 
 
AFP for you and your partner 
Statutory Declaration from your partner  
Statutory Declaration from You   
2 X Form 888 
 
Evidence that your relationship is still genuine and continuing 
-              Photos(General) 
-              Joint Lease Agreement 
-              Joint Utility Bills(Gas, Electricity, Water, Phone, Internet, etc.) 
-              Joint Bank Account 
-              Superannuation Beneficiary Details 
-              Any other letters you receive at same address to prove that you are living together 
 
 
 
 I have a question 
 
I don't have a job now,so I don't put any money into our joint account, 
and I don't ask my partner to do it, either. 
 
so it's no any record of how we use it since last October. 
Should I still hand in this information ? 
 "
21,post1845202,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification-3.html#post1845202,"03-18-2018, 05:08 AM",Tectona7,"
			
			hi there, 
can someone help me with joint statement? i mean the part who should sign the statement? me as the author or my husband? or both of us? thanks for any advice. 
 "
22,post1845890,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification-3.html#post1845890,"03-19-2018, 01:15 AM",Annisha,"
			
			Hi, everybody  
I submitted my 100 visa application in August 2017, and it has been “Application Assessment in Progress” since then. I don't check on status very often because I expect it’s gonna be a long wait...anyway this morning I logged in to immigration account and noticed status has been changed to “further assessment “. I am not sure this means good news or bad news? Does anybody have the same experience? I always believe no news is good news. But this change in wording really worries me. Appreciate if any one of you has seen this words before can tell me your story. Thank you very much.
		 "
23,post1846618,https://www.australiaforum.com/visas-immigration/250194-permanent-partner-visas-801-100-eligibility-notification-3.html#post1846618,"03-19-2018, 10:53 AM",CollegeGirl,"
			
			It means nothing, I'm afraid. Just a system update they did that changed the wording for everyone.
		 "
24,post1729882,https://www.australiaforum.com/visas-immigration/252474-registered-migration-agents.html#post1729882,"11-14-2017, 06:47 AM",Mish,"
			
			Hi All 
 
On this forum we are reguarly asked about recommending a registered migration agent. There are 4 on this forum that post quite regularly that we recommend. I have listed them below in alphabetical order: 
 
------ 
 CCMS 
Nick van Voorst 
MARN 0640648 
Website:  http://www.coralcoastmigrationservice.com.au 
 
------ 
 Jeremy Hooper 
Jeremy W Hooper  
MARN 0107902 
Website:  http://4australianvisas.com 
 
------ 
 MarkNortham 
Mark Northam 
MARN 1175508 
Website:  http://nlaw.com.au   
 
---- 
 wrussell 
Westly Russell 
MARN 0316072 
Website:  Pinoy Australia Pty Ltd 
 
---- 
 paulhand 
Paul Hand 
MARN 1801974 
 SunCoast Migration Ltd 
 
------- 
 
For more information about registered migration agents including how to find one, how to become one, the code of conduct, etc. you can visit the OMARA website:   https://www.mara.gov.au/ 
 "
25,post1729882,https://www.australiaforum.com/visas-immigration/252474-registered-migration-agents.html#post1729882,"11-14-2017, 06:47 AM",Mish,"
			
			Hi All 
 
On this forum we are reguarly asked about recommending a registered migration agent. There are 4 on this forum that post quite regularly that we recommend. I have listed them below in alphabetical order: 
 
------ 
 CCMS 
Nick van Voorst 
MARN 0640648 
Website:  http://www.coralcoastmigrationservice.com.au 
 
------ 
 Jeremy Hooper 
Jeremy W Hooper  
MARN 0107902 
Website:  http://4australianvisas.com 
 
------ 
 MarkNortham 
Mark Northam 
MARN 1175508 
Website:  http://nlaw.com.au   
 
---- 
 wrussell 
Westly Russell 
MARN 0316072 
Website:  Pinoy Australia Pty Ltd 
 
---- 
 paulhand 
Paul Hand 
MARN 1801974 
 SunCoast Migration Ltd 
 
------- 
 
For more information about registered migration agents including how to find one, how to become one, the code of conduct, etc. you can visit the OMARA website:   https://www.mara.gov.au/ 
 "
26,post1729882,https://www.australiaforum.com/visas-immigration/252474-registered-migration-agents.html#post1729882,"11-14-2017, 06:47 AM",Mish,"
			
			Hi All 
 
On this forum we are reguarly asked about recommending a registered migration agent. There are 4 on this forum that post quite regularly that we recommend. I have listed them below in alphabetical order: 
 
------ 
 CCMS 
Nick van Voorst 
MARN 0640648 
Website:  http://www.coralcoastmigrationservice.com.au 
 
------ 
 Jeremy Hooper 
Jeremy W Hooper  
MARN 0107902 
Website:  http://4australianvisas.com 
 
------ 
 MarkNortham 
Mark Northam 
MARN 1175508 
Website:  http://nlaw.com.au   
 
---- 
 wrussell 
Westly Russell 
MARN 0316072 
Website:  Pinoy Australia Pty Ltd 
 
---- 
 paulhand 
Paul Hand 
MARN 1801974 
 SunCoast Migration Ltd 
 
------- 
 
For more information about registered migration agents including how to find one, how to become one, the code of conduct, etc. you can visit the OMARA website:   https://www.mara.gov.au/ 
 "
27,post544025,https://www.australiaforum.com/visas-immigration/80537-offshore-partner-visa-309-100-waiting-room.html#post544025,"08-04-2014, 10:25 PM",Jmac01,"
			
			Hi everyone,  
I noticed that there is a waiting room for people waiting on the Onshore Partner visa, but nothing similar (that I could find!) for those of us waiting offshore.   
There will be some similarities for both groups, but I thought it might be helpful for those of us waiting offshore to stick together for morale!  
We applied 6 weeks ago (and it feels like FOREVER!), and I've been feeling really down in the dumps about being offshore. All I really want is to go home and be closer to my family, and start building our lives together in Aus. I miss  home a lot. Unfortunately we can't go home until we have my partner's visa!  
We moved from Aus to NZ when my partner's last Aus visa ran out, and we've been essentially waiting here until we can go back home.  He's from the UK.   
I guess I'm just hoping that there are other people out there who have applied for their 309/100 and might want to keep in touch. 
 "
28,post544033,https://www.australiaforum.com/visas-immigration/80537-offshore-partner-visa-309-100-waiting-room.html#post544033,"08-04-2014, 10:32 PM",Hassali.abdi,"
 
 Quote: 
 
 
 
 
					Originally Posted by  Jmac01 
 
 
 Hi everyone,  
I noticed that there is a waiting room for people waiting on the Onshore Partner visa, but nothing similar (that I could find!) for those of us waiting offshore.   
There will be some similarities for both groups, but I thought it might be helpful for those of us waiting offshore to stick together for morale!  
We applied 6 weeks ago (and it feels like FOREVER!), and I've been feeling really down in the dumps about being offshore. All I really want is to go home and be closer to my family, and start building our lives together in Aus. I miss  home a lot. Unfortunately we can't go home until we have my partner's visa!  
We moved from Aus to NZ when my partner's last Aus visa ran out, and we've been essentially waiting here until we can go back home.  He's from the UK.   
I guess I'm just hoping that there are other people out there who have applied for their 309/100 and might want to keep in touch. 
 
 
 
 
Dear Jmac01, 
 
Thanks for the concern for those who are waiting for partner visa 309/100 offshore as you do. 
I am one of you, and applied just before 2 weeks, less than  you are waiting!!!!!!! 
 
I am in Kenya, my wife and daughter in Brisbane, QLD. I am thirst for their reunification and wanted it to happened as soon as tomorrow, if possible, I know it is not. 
 
I am worse that Kenya is a high risk country. 
 
Wish you soon grant of visa 
Hassan 
 "
29,post544273,https://www.australiaforum.com/visas-immigration/80537-offshore-partner-visa-309-100-waiting-room.html#post544273,"08-05-2014, 02:11 AM",CollegeGirl,"
			
			Jmac, the reason is that the process and the experiences vary widely from embassy to embassy. So there are threads for specific embassies so you get information (and can commiserate with) people who are going through the same process as you are.   For example - the wait for a 309 from Kenya or Pakistan or Bosnia-Herzegovina can be 18 months or longer, but the wait for a 309 from, say, Berlin is more like 6-8 months. And the embassies handle the process very differently. That's why general 309 threads don't tend to last long - people seek out other people going through the same thing as them. 
 
As an example, if you talked to someone applying from the US they'd tell you it was just fine to apply for a visitor visa while you're waiting out the 309, and that your CO will let you know when to get offshore to get your visa granted, and it won't delay it (it's true in almost every embassy). But if that information was given to someone applying through India, they'd risk delaying their application by several months if they didn't time their visitor visa correctly. 
 
Just my two cents!  
 "
30,post545945,https://www.australiaforum.com/visas-immigration/80537-offshore-partner-visa-309-100-waiting-room.html#post545945,"08-06-2014, 12:32 AM",Jmac01,"
 
 Quote: 
 
 
 
 
					Originally Posted by  CollegeGirl 
 
 
 Jmac, the reason is that the process and the experiences vary widely from embassy to embassy. So there are threads for specific embassies so you get information (and can commiserate with) people who are going through the same process as you are.   For example - the wait for a 309 from Kenya or Pakistan or Bosnia-Herzegovina can be 18 months or longer, but the wait for a 309 from, say, Berlin is more like 6-8 months. And the embassies handle the process very differently. That's why general 309 threads don't tend to last long - people seek out other people going through the same thing as them. 
 
As an example, if you talked to someone applying from the US they'd tell you it was just fine to apply for a visitor visa while you're waiting out the 309, and that your CO will let you know when to get offshore to get your visa granted, and it won't delay it (it's true in almost every embassy). But if that information was given to someone applying through India, they'd risk delaying their application by several months if they didn't time their visitor visa correctly. 
 
Just my two cents!  
 
 
 
 
Thanks CollegeGirl. I knew there were embassy-specific forums but nobody seems to apply from New Zealand! So it's kind of sad to be all alone! I was hoping there might be some moral support since we're all offshore, some of the experience may be universal.  
 
Just a question you might be able to help with - now that most applications are online, do the applications still get assigned to an embassy?
		 "
31,post546113,https://www.australiaforum.com/visas-immigration/80537-offshore-partner-visa-309-100-waiting-room.html#post546113,"08-06-2014, 02:00 AM",CollegeGirl,"
			
			Yes, they do still get assigned to an embassy - whichever one is closest to you in most cases.  
 
There really won't be too many universal experiences embassy to embassy, unfortunately, except for the waiting (and even that will be different since some people have two years of waiting while others have six months, and some people can visit their partners while waiting and others can't). When a CO gets assigned varies, whether you get notified of this varies, how long your acknowledgment takes varies, how long processing takes varies, if they tell you how long processing will take varies, IF they stick to their quoted processing times varies, whether processing times are getting slower or looking like they might be getting better varies, which forms you need to provide varies, whether or not a tourist visa during processing could potentially affect your application processing time varies, what requirements they have for proving genuine relationships (to some extent) varies, what sort of marriage ceremony needs to have been had for them to view it as legit can vary, etc. etc. etc. It's insane how different requirements can be from embassy to embassy! Yikes.
		 "
32,post546265,https://www.australiaforum.com/visas-immigration/80537-offshore-partner-visa-309-100-waiting-room.html#post546265,"08-06-2014, 02:57 AM",hallitosh,"
			
			Hi there, we haven't applied yet but are offshore together waiting to get everything together. Were also in NZ we are in Queenstown but headed to Wellington soon. Where are you located. Let's chat. Bella
		 "
33,post547313,https://www.australiaforum.com/visas-immigration/80537-offshore-partner-visa-309-100-waiting-room.html#post547313,"08-06-2014, 04:44 PM",jennie0987,"
			
			Hi! 
 
We are offshore too, I am British and my fiancee is an Aussie, we are applying for the 309 visa.  
We are living in Vietnam and applied coming on a month ago now! 
Would love to hear about anyone who has applied in Vietnam... I have searched and searched but cant seem to find anyone!! We have already submitted our police checks and our medical check!
		 "
34,post547481,https://www.australiaforum.com/visas-immigration/80537-offshore-partner-visa-309-100-waiting-room.html#post547481,"08-06-2014, 11:37 PM",Jmac01,"
			
			Good to hear from you guys!  
Bella, where is your partner from? (or you, if you're the one applying for the visa   ) We are also in the South Island, I'll see if I can figure out how to message you.  
Hi Jennie, I haven't heard of anyone applying from Vietnam - it's an unusual situation that we're in too, Aussie/Brit relationship and living in a third country! Looks like we applied at a similar time, so it will be interesting to talk about similarities/differences. We haven't heard anything from IMMI yet, but figured we won't hear anything for a while! 
 
additional: 
it will be interesting to see what the time frame is for NZ applications... the subcontractor (?) that processes applications in NZ says on their website that the time frame for the 309 is 12 months, but on the IMMI website it says the time frame is 5 months for low risk countries.
		 "
35,post547633,https://www.australiaforum.com/visas-immigration/80537-offshore-partner-visa-309-100-waiting-room.html#post547633,"08-07-2014, 01:48 AM",CollegeGirl,"
 
 Quote: 
 
 
 
 
					Originally Posted by  Jmac01 
 
 
 Good to hear from you guys!  
Bella, where is your partner from? (or you, if you're the one applying for the visa   ) We are also in the South Island, I'll see if I can figure out how to message you.  
Hi Jennie, I haven't heard of anyone applying from Vietnam - it's an unusual situation that we're in too, Aussie/Brit relationship and living in a third country! Looks like we applied at a similar time, so it will be interesting to talk about similarities/differences. We haven't heard anything from IMMI yet, but figured we won't hear anything for a while! 
 
additional: 
it will be interesting to see what the time frame is for NZ applications... the subcontractor (?) that processes applications in NZ says on their website that the time frame for the 309 is 12 months, but on the IMMI website it says the time frame is 5 months for low risk countries. 
 
 
 
 Ignore that timeframe on the Immi website. It has not been updated for at least two years and is very misleading. There's no low-risk embassy anymore with an average of 5 months processing... I really wish they'd just take that wrong information down.
		 "
36,post547737,https://www.australiaforum.com/visas-immigration/80537-offshore-partner-visa-309-100-waiting-room.html#post547737,"08-07-2014, 02:02 AM",hallitosh,"
			
			College girl feel free to find me on fb Bella Hallinan 
 "
