,M,"	Okay, there you go. So that's recording now. Alright, so let's just begin with your first move to Canada. When did you first move to Canada?"
20,M,	So move to Toronto?
21,Mi,"	No, that's another part that it's a complicated part. So, I decided to work in the marketing sector. So, I was really interested in the marketing inside the business spectrum, Business School spectrum. So, I decided to look for certain jobs but then I found a media integrated specialist position, which  was focusing on advertisement and marketing. It was an entry level position. And then I gave my previous knowledge to Tim Hortons. I was assistant manager at that time by the way. And they offered me being a store manager, but I certainly didn't want to move forward with hospitality because it was enough in terms of the difficulties and plus, I wanted to try more. I wanted to get a different insight, a different part of the business. And then I got this job at a different company - this is still in Winnipeg. I dis this job almost six months and then I was doing good in the company. But what happened was, there was a family emergency my mom had a stroke and she had the open-heart surgery. So, then I had to move back. And I had to give my notice of emergency. And they kept my job for a while. But after a certain period of time, of course, I totally understand the fact that they couldn't keep my position. And so that was a time that year.. 2015, February, I decided to move back to Turkey, not permanently, not definitely, maybe indefinitely. So, it was a big question mark. It was just an emergency purpose. And I didn't know, I didn't plan the rest. So that was the heartbreaking point in terms of not having the full taste of Canadian experience at that time. I didn't even know what was gonna be my future. Yeah, at that time. So then we've been 2015 February till 2016 October, I had my Turkish experience, I worked in two different jobs. One was the logistics coordinator in an international firm and the other one was, I was the procurement specialist. So I was mostly working in the agricultural company that they were important to exporting and they were actively participating in the tenders of United Nations and I was also working in the tender department as well. So, it was a well-paid job considering the fact that the standard of living in Turkey and some other factors, but after my mom's health was getting better, I offered my family to move entirely to Canada. I didn't want to limit their time being here because I offered them even six months in and out Not because of the policies or procedures, because I knew that, because of their age because of their cultural background, maybe they wouldn't be a good fit. Or maybe they wouldn't have a taste of Canada. Maybe they wouldn't like to be here. So that's why I suggested be with me six months or four months, whatever. And then you can go back to Turkey, we can maybe get a mortgage here or I can settle here because I definitely, I mean, doing this one and a half year in Turkey, I decided to move to Canada entirely, and I want to settle here. That was that, that tangible and concrete way of thinking that I would settle here. So that was a time, because of the economy, part of it, it's the polarized society. I didn’t want to live in a polarized society. I didn't want to live in a society that that people are judgmental about certain things, and I'm still not sure if running away or leaving the country is a good choice? As an individual, maybe it's a good choice. But if you're thinking more of a, because I love my country, I think that individuals can create certain environment that it would definitely impact your campaigns. But sticking with the subject, yes, that was a time that I decided to move back to Canada and because of the job opportunities, potential job opportunities, I wanted to come to Toronto so year 2016 October, I came to Toronto from Turkey this time "
22,"So first I wanted to continue as a procurement executive because I wanted to see that there's any way of working in that field and plus my, even though I was working in a domestic company in Turkey, but our operational spectrum was International. So, I was hoping the fact that maybe I would get somehow, I would get some opportunity in my field as a procurement executive. But unfortunately, my application process was really heavy. Even when I was applying to certain job boards, like indeed… they were reviewing my resume, but they weren't responding. Because I know the fact that whoever I went to and ask, even the professional HR specialists, they were saying that yes, you have a rich background, we can definitely take advantage of it. But at the same time, you don't have a specific procurement executive experience in Canada. So that's the roadblock. And then I decided to change my way because I needed the financial funds. I started to work, which is entirely different field, as a construction worker. I worked in construction for six months. I needed just cash to get to the next level. And I was offered by my employer that would you like to be an installer and the money is really is really good. It's a lucrative business. You need to work with your hands but at the same time with pays off. I said, my goal driven, I'm a goal driven person, but not the money driven person. Money is a tool should stay as a tool. But there should be more than that so I said no. And meanwhile, I was looking for some job opportunities. And I took an opportunity of being an account executive in a software as a service SaaS company. So, we were building platforms like coding platforms, yeah, JavaScript and then some other programming languages that we were using. So, it was fun because I was dealing with the schools directly. I was managing the account and as well as I had the program coordinator that she was helping me out, how to coordinate after the sales process. And I learned a lot I learned the structure of not the post secondary or for the university level institutions, but high schools, primary schools and JK to 12. I had a chance to having an experience of the structure is, so it was it was eye-opening. And then I decided to work for, because I needed the money because my initial goal together to get my master's degree in something that, what I am pursuing right now, immigration, settlement, similar approaches, which would be ideally multidisciplinary. And in this case, I can take my international relations, political science background and I would enrich it with the different aspects such as sociology or anthropology, which as you know, it's not enriched in international relations program. There are some courses but the courses are mostly just intro to Sociology and intro to anthropology or so on. So that's why I needed some funds and I got a good offer from a financial institution that as a credit counsellor. So it was also helpful for you to understand what the society's is going through right now in terms of debt. Debt is one of the biggest thing and in Canada, I think the overall lean on the word worldwide, right? So I worked there for for two years, and I saved my money for my tuition and luckily, I got the scholarship as well and I put this money on the side. So, in this case that I don't I didn't need to hustle that much and work doing my studies. So right now, I'm not working. But if you're asking me in general what I graduated from, did it entirely compliment my experiences? I don't think so. Because of the circumstances because of the the job availability itself, and because of also the other the reason I think personally about I experienced is the need to make money, we need to survive. So that pushes you in certain fields that maybe you're not going to be engaging. Maybe you'll know that first place when you read the job description, but at the end of the day, you have to bring the food on the table. So that that was the main reason that why I kind of switched from one sector to another sector, but it was all complimenting the business, which I took my business management, administrative skills to jobs, and sales. I think sales is a different ballgame. It's you can either learn, and it's not something that you can entirely learn. You should have some sort of sales skills in you, but at the same time, you can enrich it. So, it was helpful, but at the same time, I've mostly enjoyed my role when I was not selling the educational coding platform, but I was actually giving some presenting my consultation, like counselling sessions to the people that who are in that. So, to see that how people are desperate, lack of educational background for lack of skills that there is a lack of financial literacy too, which is not getting taught in the primary school or high school. So, it was an eye opener. It was a it is a life experience rather than that work experience.",
23,M,"	Yeah. So I mean, I think you've answered a lot of this question already. Okay, about about your skills or how do your skills fit in the skilled migration program."
24,Mi,"	Sure, that's a good question. I think I have Okay, this is a I want to start from this story… When I was seven, eight years old. I saw footage on the TV. That that was. That was a topic that some anchor-man they were discussing about what's happening in Bosnia war. So, I was seeing a truck that it was saying UN - the United Nations. I didn't know what it stands for. So, I was asking my parents, they didn't speak English, of course, they didn't know. And they figured out that they probably bring some food. And that says Un in Turkish Un, it's a flower. Yeah. So they kind of correlated to that. I said Wow, that's nice. What are they doing? They said ‘Oh, they're helping people that were actually suffering from war. So then I started with dig deep about UNICEF. What they are doing, I didn't have any knowledge now reach like 10-11 years old. I told my parents that I want to work for UNICEF. I want to help children, I want to, I want to be part of the community that whoever is suffering from war from certain difficulties. I want to be helpful because if I'm not going to be helpful, what is the purpose of my entity in this world, my existence in this world, that's a different way. We can discuss later What is the purpose of being present in this world. That's a different topic, but I wanted this and funny enough, I chose international relations and then I was more involved in certain cases, theories, how it was helpful, or it wasn't helpful to interpret certain situations. And then I found myself in this job, In business kind of field, which I don't like because there's no human touch, in my opinion, I think. You can, you can actually covered it, or spice it up with a more humane touch. It is totally up to you. We don't need to, I don't need to put it as an excuse. But I think how I can bring my economic experience and my undergrad experience with the business. First of all, I have a, I have a theory I have the idea of major research paper. So, which I'm thinking about how the business class immigrants, they switch from business class to different streams. Either being an entrepreneur in the entrepreneurship program in Canada, or they go different streamlines because they don't have the channel that they can actually continue in that channel. And actually apply their, their experiences, right? So, I'm thinking about doing a research about their experiences, their difficulties, specific before that was, and also what are the challenges and how to overcome it. That was my idea. But once I'm getting into more and the program, I'm seeing and getting influenced by different kinds of ideas, ideas that are right now, so I might not stick with that idea in terms of my major research paper, but just to answer your question more clear. I think with my, with my business skills, I will I wouldn't just name it just administrative and also some marketing skills, but you can just put a bit from here and there and kind of make it a big, big impact on your future skills. But again, it's so limitable. It's not that why I mostly feeding myself from my international relations background and my interest in that field, even in the in the class discussions, I'm seeing myself more confident, not because of my business background, but because of my international relations background. So what I want to do with this field, unfortunately, I can put my business skills, mostly maybe into the presentations because I learned a lot in the program, or my, my dialogue skills or maybe administrative format, when I'm preparing or writing a paper because in the undergrad level, you have some short term limits that you can go beyond, but International Business program it gave me an understanding….I was involved in so many different marketing research projects. So that gave me an understanding of how to do research. How you can excel to a point that you can be successful in your future endeavours. So I think that could be helpful in that sense. But compared to my undergrad and business, post-secondary degree, the book will be helpful but in different ways, it's hard to tell how it's going to help me. It is more hybrid. That's, that's good way of explaining that. So, but in future, I would like to work in an NGO, or I would like to stay in academics, if that will be able to position, if there will be any sort of day. I know, it's really challenging, and it demands so much from an individual. I would love to do that either stay in academics or working for an NGO. In this case. I don't want to actually be in specifically Canadian settlements, sector. I don't want to just file the papers and just check the policies. I think that I, I can do more. The more is? It's a good question. It is it is really. I mean, I think certain things, for example, helping someone's paperwork in the settlement sector, or trying to figure out what's the what's missing policy in here, or what kind of policies we can implement in this case? That's totally valuable. I understand. But yeah, I'm not trying to degrade the value of it. I totally respect that. But at the same time, if I can stay in academics, I can try to see what are the missing parts in the policies"
25,M,	So do you see any missing parts in policy now?
26,Mi,"	Now … temporary foreign workers. Yeah, it's a big time. I mean, I was reading an article referring. She She has a Filipino background. And she was focusing on the temporary foreign worker program and how Filipino migrants actually suffered from it. She had a focus group and everything. So, first of all, it's good to start this four years in, and four years out policy. It was it was totally endorsing the fact that there's a Canadian dream, come here, work for four years, but at the same time, that the officials they were doing numerous trips, from Alberta, Saskatchewan from different provinces, Manitoba as well, that they didn't actually fully explain in the thesis. That's what it says. They didn't fully explain what the pros and cons are, they were mostly talking about pros like a salesperson. I mean, we need to explain that first. So four years in four years out policy is once you are accepted as temporary foreign worker. So, the policy was, I'm not sure if it still continues the same way. I think government, Immigration Canada was trying to do some adjustments or they were discussing about that, I'm not sure if it's an act right now or if it's a policy change on the table. But once you're in the four years, you allowed to work 4 years and after your for your duration is expire, then you have to leave the country. That's what the program says, but what actually this program led these workers because they created an environment here they created a belonging here. So they want to find a way to apply for for permanent residency. So, at that time PNP program was a good way of finding that channel. Mostly It started with the seasonal workers. So speaking of skilled classification, yeah. That definitely is related with this temporary foreign workers. So, they are typically mostly the temporary foreign workers, they were low skilled. And most of them, they wanted to stay in Canada. So, they either went for PNP, or they were looking for a sponsorship. But the sponsorship as you can imagine, directly from an employer, it was so rare. But mostly it was the PNP programs that they were finding a way to get their permanent residency."
27,M,"	So, sort of a Alright, so let's also talk about your family. So you losing your family and what was their role in your migration?"
28,Mi,"	Sure. So my parents are still alive and Scott, and I have an older sister. So she is 16 years older than me. So I'm 33 years old now. So she's almost 50 I guess, 48. She had no influence or no endorsement in my immigration, migration process. But mostly, my father was a pro. My mom was against.. She was looking at the things more in a sentimental way. And I totally feel for her. And it is a tough decision to leave the country, to leave your family. But my father, he was looking at things more pragmatic way, because he saw that in me that this is what I wanted to be and I would be unhappy to live in the country, live in Turkey. Because of so many reasons, as I explained to you the polarized way of society and the economic situation, yes, I would probably. I'm just imagining myself what would happen if I wouldnt come to Canada Do you think that would be a good way of explaining? I will probably get married in my early 20s. And I would have children right now because of the societal pressure, time pressure, family pressure? It is still there. When we are skyping, they still endorsing the idea of like, when are you getting a married? When are we going to have the children on our hands?, and I'm just saying that I have goals once I finish these goals, and then when they accomplished then my first of all, is not going to just get married -  to find the right person. Marriage is just a paper. The system certificate, interestingly a certificate so accomplishing something of some sort. They do they certify you. So I just don't understand this notion. I never understood. So they are more conservative in terms of the traditional way of living, or being an individual. But I'm not entirely thinking the opposite, though. But most of the things that we don't agree, but I think, in family if you find the right way of putting the dialogue, I think they're going to understand you don't need to fight they don't need to. You need to just empathise yourself. Empathy is the key. So then that works. They don't understand me sometimes. I didn't understand them, but I'm trying and then they started to try my position. So, once I'm explaining what I'm going through and what I went through as I explained everything all the immigration process. Now they value it, and they justify it, my situation that why I'm not rushing, or quitting a job. Yeah. But yes, mostly father was abroad during this immigration process. Mom was against and and the sister was neutral."
29,M,"	Alright, so we can now I think move to the mapping. So, in your case, I think I want to I want to know about all of the visas that you went on in your study abroad, work abroad. experiences. So mostly, that would be for Austria and Canada. "
30,Mi,"	Can I map it out in terms of the emotions as well?  Can I draw two tables which was Austria and Canada? Okay, let's put this…So the first one I'm putting as figure one, which is going to be the Austria visa process because there was only one visa, so there's no need to explain other which is simple. Figure two is going to be a little bit complicated. I would like to start with Austrian one because the experience was. So, I think in every single, I mean mostly the westernized countries, their requirements are so detailed. So, I would say this is I would say, stress level. The most two things that I would name is during these visa processes, one is the stress level in terms of emotion. And one is that the work that you put, so I would say the efforts/time. It's gonna go the same way I guess okay so the stress level was not too much because it was educational purpose. I knew that it was going to end really, really soon but the effort and time, European Schengen visa is really demanding, but the stress level Let's just say one to 10 – I would put 4. Stress 4, effort 9. So again 1-10. I would just kinda put here in detail - Study permit. Okay in this case let's put it this way. So Schengen visa process, let's say study permit. So study permit was again one to 10 I would say, because, okay, this is kind of different. The stress level was a little bit less again. I would put 2. OK, because, so the paperwork process for Austria was handled by myself, but the paperwork process in Canada, was handled by that consultancy agency. So, and they're actually they helped me out a lot with that, of course I paid to him. So that's why I knew that they guaranteed the approval is going to be there, you're I mean, you're eligible for so many things, so everything will be fine. So that's why the stress level was not that much, and effort was not that much. So, I would put 4 and 2. Just gathering the documents was a bit tough. "
31,"But the PR and immigration is different. So I'm going to draw two figures. One is gonna be the provincial Nominee Program. The other one will be PR process and the last one will be the citizenship application so there will be three graphs. sorry I just couldn't organize on my mind. So this figure, figure 2a, figure 2b, and figure 2c. I mean, it might not be the right category, but I'm just trying to kind of sub categorize. Okay, so let's start with the figure a. which will be the regular work permit/pep. So, again, one to 10 scale. This was stressful. This was this was I would say 8 because the program wasn't explained enough. Even though there were some provincial, like Manitoba start up. Yeah. I'm not sure if you heard of them. They're actually a non-profit organization funded by government. They're explaining. They're providing some sort of consultancy to the people that who are going through this process. So the people over there, the agents over there, they were so helpful. It was good. I mean, I have to justify this of course… but but in general still there were so many unknowns. So, I would say the stress level for the PNP program because it's just the first step, but you don't know what's going to happen afterwards. And the effort and time, I think this will kind of never change because effort and time exceptt this part. This part I'm gonna explain to you the citizenship part, it will always be the same. I would say let's say 9. So this was because there was more document requirements and job another, job offer letter from the employer and explaining this process to the employer. They were even though they were familiar, they were a bit hesitant about certain things, and you had to be nice with them. So other part is you need some documents from Turkey, the official documents and you cannot be scanned. So, you need origin documents. And plus, you need to provide certain documents in different categories. So that was a bunch of different combinations. So, effort and time, and yeah, it was 9. So, the second one, I mean, as a lot of subcategories. I can talk about the PR, which is not the main goal, but the main goal is this, but this is the segue as you know. So we're going to use a different color. So, one to 10 scale again. Yeah, stress level we categorize we don't change the category. I had some some documents already get prepped before, you you would use some documents that are already in the database in this process. You don't need to get everything from scratch but at the same time, the form itself, the application form itself is so detailed compared to the PNP program, or the work permit. So I would say, effort and time goes hand in hand. But in terms of not to gather the documents that much, but to be more cautious about how to fill out the form. Again, I needed some sort of support and I got that support from Manitoba start-up program. Okay. That was helpful in terms of their guidance. They didn't feel the forum behalf of me, but they gave me certain guidance. So I would say interesting way, maybe seven, for for the effort of time, but the stress level was, was more I would say… I don't want to say 10 because it's not a life and death situation. I always knew that I had another option. Worst case scenario, I would go back home. I would find different ways. Different ways mean… just want to open that. People think about different ways as shortcut fails, like getting married with someone or different kinds of opportunities. But I had that opportunity in my previous relationship that she offered me straight – you dont need to go through this process. I refuse. I refuse it because I don't want to rely on someone's bill to you know, I don't want to jeopardize the situation. What if you wouldn't get along at certain periods?",
32,M,	How long will you meet with this person?
33,Mi,"	She offered like I was overall three and a half years, almost four years. But she offered me in the middle of this time frame. I mean, two years. When we were two years together, she offered me she said, You don't need to go through this process. You can just handle everything more smoothly. But I refuse. I refuse that. Again, this is this is really complicated because if you really don't feel that this is the right thing, because some people, they just rely on this, and I didn't want to do that. It wasn't voluntarily some people just, you know, offer some sort of money or internal arrangement. They call it fake marriage, but it wasn't fake. It was real that at the end proves that we are not together anymore. So, I was right. I was right. Okay, so seven, stress level was nine. And the last one will be the citizenship. Yes, I already applied for my citizenship. I pass the knowledge test, I'm just expecting the oath, the ceremony. So, the time that I pass the knowledge test, it was 29 April this year. So, they literally talked to me about the timeframe between six to six months, six months to One year. So, we will see how that goes. It's already five months past, I have no rush. I think the stress level is really low because after this process, it lowers. Its smooth. So, I would say to and the effort again, I got, I was busy at that time, and I got some help from an immigration agency that they prepare those documents. So, I would say after that time, maybe 4, so two and four."
